#{"t_start": 1682559274.5630844, "env_id": "FuzzGym-v0"}
r,l,t
79.334148,11,6.833926
79.32643,11,7.331075
79.333622,11,7.840341
79.318749,11,8.383274
79.334855,11,8.934425
79.323644,11,9.444528
79.319386,11,9.958147
79.310595,11,10.468635
79.331658,11,11.003641
79.307417,11,11.514877
79.309659,11,12.037705
79.318953,11,12.549817
79.330321,11,13.104508
79.330651,11,13.65113
79.318538,11,14.197232
79.321273,11,14.760682
79.329737,11,15.28672
79.331058,11,15.837002
79.337643,11,16.393914
79.337926,11,16.951895
79.324038,11,17.494308
79.322719,11,17.932143
79.318973,11,18.402838
79.328179,11,18.869957
79.316543,11,19.394382
79.318673,11,19.934633
79.330352,11,20.458914
79.329236,11,20.970765
79.331263,11,21.501328
79.322952,11,21.990197
79.327488,11,22.518914
79.329714,11,23.058705
79.336465,11,23.625723
79.331777,11,24.15634
79.329825,11,24.682997
79.32614,11,25.191812
79.335794,11,25.746365
72.531889,11,26.281255
69.978456,11,26.801964
69.962454,11,27.336749
69.949488,11,27.855483
69.965839,11,28.397642
69.975497,11,28.945353
69.958598,11,29.465729
