#{"t_start": 1680721463.3909361, "env_id": "JPEGEncode-v0"}
r,l,t
0.000606,12,0.169535
0.000468,12,0.199235
0.000628,12,0.227605
0.000574,12,0.25478
0.000648,12,0.283736
0.000491,12,0.311429
0.000535,12,0.340015
0.000609,12,0.36792
0.000628,12,0.396658
0.000599,12,0.424523
0.000593,12,0.452874
0.000473,12,0.479713
0.000602,12,0.507588
0.000601,12,0.536224
0.00058,12,0.564021
0.000796,12,0.59403
0.000802,12,0.624691
0.000617,12,0.65345
0.000605,12,0.683695
0.00062,12,0.71377
0.000499,12,0.742874
0.000558,12,0.771041
0.000531,12,0.798217
0.000428,12,0.825706
0.000553,12,0.853
0.000583,12,0.879042
0.000526,12,0.90646
0.00057,12,0.933095
0.000561,12,0.958968
0.000566,12,0.985199
0.000562,12,1.011596
0.000567,12,1.038399
0.000556,12,1.065019
0.000584,12,1.091204
0.000547,12,1.118776
0.000581,12,1.146461
0.000562,12,1.176433
0.000549,12,1.205481
0.000701,12,1.234469
0.000617,12,1.262417
0.000578,12,1.289567
0.000611,12,1.316072
0.000456,12,1.34277
0.000444,12,1.369574
0.000545,12,1.396359
0.000541,12,1.42439
0.000621,12,1.452333
0.000591,12,1.480292
0.000447,12,1.507074
0.000579,12,1.535872
0.000575,12,1.56352
0.000563,12,1.590045
0.000626,12,1.618492
0.000465,12,1.64616
0.000596,12,1.674284
0.00047,12,1.700897
0.000587,12,1.729062
0.000597,12,1.756616
0.000521,12,1.783821
0.000613,12,1.811673
0.000527,12,1.839002
0.000622,12,1.867319
0.000578,12,1.895335
0.000582,12,1.923151
0.000577,12,1.95007
0.000583,12,1.97622
0.000517,12,2.003356
0.000472,12,2.030718
0.000597,12,2.058356
0.000591,12,2.08462
0.000598,12,2.110568
0.000554,12,2.137465
0.000664,12,2.166031
0.00059,12,2.19322
0.000587,12,2.220029
0.000607,12,2.247146
0.000483,12,2.274261
0.000614,12,2.302145
0.000526,12,2.330318
0.000556,12,2.356805
0.000559,12,2.38292
0.000603,12,2.409822
0.000497,12,2.435405
0.000623,12,2.462253
0.000585,12,2.488302
0.000599,12,8.289876
0.000583,12,8.315249
0.000587,12,8.36155
0.000506,12,8.390746
0.000573,12,8.41756
0.000585,12,8.443423
0.00049,12,8.469228
0.000524,12,8.494811
0.000585,12,8.520622
0.000466,12,8.546186
0.000575,12,8.571621
0.000541,12,8.597294
0.000538,12,8.622325
0.000591,12,8.649074
0.000586,12,8.676005
0.000502,12,8.701681
0.000546,12,8.72725
0.000576,12,8.752694
0.000584,12,8.778492
0.000546,12,8.803935
0.000457,12,8.829006
0.000588,12,8.854735
0.000578,12,8.880096
0.000429,12,8.905547
0.000482,12,8.931121
0.00058,12,8.956745
0.000445,12,8.982391
0.00058,12,9.007729
0.000586,12,9.033543
0.000551,12,9.060775
0.000609,12,9.088625
0.000589,12,9.116024
0.000581,12,9.141879
0.000585,12,9.166927
0.00058,12,9.192578
0.000583,12,9.218398
0.000581,12,9.243825
0.000584,12,9.26909
0.000515,12,9.294668
0.000586,12,9.320376
0.000498,12,9.345878
0.000473,12,9.371285
0.000479,12,9.396824
0.000573,12,9.422246
0.000577,12,9.447477
0.000464,12,9.472591
0.000546,12,9.497787
0.000574,12,9.524166
0.000517,12,9.55094
0.000501,12,9.577907
0.000581,12,9.603941
0.000481,12,9.6305
0.000502,12,9.656918
0.000545,12,9.682668
0.000553,12,9.708218
0.000532,12,9.734092
0.000554,12,9.759575
0.000435,12,9.785088
0.000581,12,9.81079
0.000579,12,9.836573
0.000543,12,9.861967
0.000443,12,9.88739
0.000544,12,9.912731
0.000584,12,9.938314
0.000477,12,9.964016
0.000518,12,9.990069
0.000584,12,10.01578
0.000516,12,10.041156
0.0005,12,10.066628
0.000587,12,10.091814
0.000531,12,10.11735
0.000433,12,10.142675
0.000474,12,10.168226
0.000585,12,10.193692
0.000457,12,10.220897
0.000513,12,10.246452
0.000582,12,10.272352
0.000472,12,10.297671
0.000452,12,10.323021
0.00058,12,10.348465
0.000581,12,10.374289
0.00057,12,10.399878
0.000473,12,10.425374
0.000559,12,10.450825
0.000582,12,10.47625
0.00057,12,15.90885
0.000556,12,15.935149
0.000589,12,15.96091
0.000575,12,15.986312
0.000412,12,16.011639
0.000448,12,16.036729
0.000505,12,16.062166
0.000544,12,16.087862
0.000575,12,16.113238
0.000496,12,16.138931
0.000571,12,16.164711
0.000587,12,16.190298
0.000526,12,16.216172
0.000584,12,16.241719
0.000479,12,16.266995
0.000584,12,16.292482
0.000583,12,16.318121
0.000565,12,16.34402
0.000579,12,16.36979
0.000589,12,16.395485
0.000554,12,16.421106
0.00046,12,16.446279
0.00042,12,16.471319
0.000585,12,16.496815
0.00046,12,16.522286
0.00051,12,16.547777
0.000587,12,16.57361
0.000578,12,16.599134
0.000577,12,16.624994
0.000598,12,16.651426
0.000566,12,16.678125
0.00049,12,16.703386
0.000586,12,16.728688
0.000561,12,16.754015
0.00056,12,16.779673
0.000484,12,16.805259
0.0006,12,16.831016
0.000587,12,16.856668
0.000454,12,16.967922
0.000448,12,16.993814
0.000515,12,17.020361
0.000587,12,17.046657
0.000463,12,17.072411
0.000502,12,17.098126
0.000419,12,17.123769
0.000582,12,17.149878
0.000433,12,17.175868
0.000582,12,17.201884
0.000588,12,17.227791
0.000572,12,17.253845
0.000588,12,17.279694
0.000581,12,17.305772
0.000533,12,17.331555
0.000597,12,17.358064
0.000609,12,17.384395
0.000595,12,17.410524
0.00044,12,17.436269
0.000584,12,17.462177
0.000612,12,17.489785
0.000483,12,17.517307
0.000419,12,17.542954
0.000546,12,17.568858
0.000576,12,17.595997
0.000585,12,17.621622
0.000558,12,17.647368
0.000609,12,17.675248
0.000615,12,17.703068
0.000491,12,17.728995
0.000578,12,17.754985
0.00044,12,17.781019
0.000586,12,17.806892
0.000566,12,17.832713
0.000538,12,17.858117
