#{"t_start": 1680721463.388774, "env_id": "JPEGEncode-v0"}
r,l,t
0.002872,12,0.170213
0.000762,12,0.200079
0.000671,12,0.228405
0.000684,12,0.255637
0.000759,12,0.284454
0.000585,12,0.311852
0.00079,12,0.340795
0.000626,12,0.368669
0.000669,12,0.397352
0.000665,12,0.425336
0.000598,12,0.453735
0.000596,12,0.480544
0.00069,12,0.508442
0.000701,12,0.537076
0.000745,12,0.564708
0.000691,12,0.59471
0.000725,12,0.625545
0.000714,12,0.65426
0.00087,12,0.684492
0.000805,12,0.714577
0.000655,12,0.743533
0.000698,12,0.771847
0.000685,12,0.799085
0.00067,12,0.82661
0.000635,12,0.853822
0.000606,12,0.879935
0.000652,12,0.907318
0.000695,12,0.933936
0.000626,12,0.959891
0.000638,12,0.986022
0.000586,12,1.012491
0.000653,12,1.039253
0.000623,12,1.065845
0.00058,12,1.092017
0.000692,12,1.1196
0.000681,12,1.146967
0.000825,12,1.177238
0.00067,12,1.206344
0.000696,12,1.235135
0.000655,12,1.263247
0.000641,12,1.29039
0.000637,12,1.316938
0.000662,12,1.343612
0.000642,12,1.370414
0.000564,12,1.397155
0.000622,12,1.42516
0.000676,12,1.453113
0.00066,12,1.481082
0.000592,12,1.507939
0.000748,12,1.53638
0.000699,12,1.564326
0.000608,12,1.590916
0.000715,12,1.619377
0.000591,12,1.646825
0.000721,12,1.675093
0.00059,12,1.701787
0.000522,12,1.729846
0.000697,12,1.757407
0.000782,12,1.784627
0.000646,12,1.812351
0.000638,12,1.839889
0.00067,12,1.867963
0.000649,12,1.896148
0.000685,12,1.923973
0.000612,12,1.950923
0.000623,12,1.977131
0.000663,12,2.004198
0.000724,12,2.031498
0.000671,12,2.059151
0.000544,12,2.085447
0.000623,12,2.111328
0.000656,12,2.138354
0.000689,12,2.166735
0.000552,12,2.194052
0.000638,12,2.220848
0.000607,12,2.247998
0.000659,12,2.27489
0.00067,12,2.302859
0.000726,12,2.33113
0.000635,12,2.357642
0.000625,12,2.383816
0.000626,12,2.410656
0.000536,12,2.436303
0.00059,12,2.463109
0.000617,12,2.489209
0.000658,12,8.29063
0.000481,12,8.316143
0.000965,12,8.362262
0.000749,12,8.391611
0.000522,12,8.418371
0.000548,12,8.444291
0.000623,12,8.470114
0.000619,12,8.495734
0.000578,12,8.521494
0.000588,12,8.547098
0.000618,12,8.572545
0.000622,12,8.598208
0.000539,12,8.623281
0.000639,12,8.649916
0.000596,12,8.676851
0.000578,12,8.702507
0.000617,12,8.728158
0.000583,12,8.753611
0.00062,12,8.779386
0.000617,12,8.804873
0.000463,12,8.829934
0.000623,12,8.855602
0.000543,12,8.881005
0.000632,12,8.906443
0.00056,12,8.932044
0.000617,12,8.957637
0.00062,12,8.983309
0.000533,12,9.008638
0.000616,12,9.034432
0.000728,12,9.061494
0.000699,12,9.089453
0.000559,12,9.116871
0.000617,12,9.142786
0.000453,12,9.167848
0.000597,12,9.193488
0.000618,12,9.219288
0.000516,12,9.244722
0.000582,12,9.270016
0.000609,12,9.295592
0.000508,12,9.321252
0.000543,12,9.346765
0.000566,12,9.372192
0.000622,12,9.397733
0.000624,12,9.423153
0.000453,12,9.448389
0.000472,12,9.473514
0.000532,12,9.498695
0.000656,12,9.52504
0.000647,12,9.551544
0.000632,12,9.57873
0.000519,12,9.604812
0.000655,12,9.631351
0.000561,12,9.657799
0.000626,12,9.683552
0.000528,12,9.709123
0.00063,12,9.734995
0.000576,12,9.760503
0.000573,12,9.786002
0.000625,12,9.811692
0.000634,12,9.83745
0.000502,12,9.862905
0.000613,12,9.888324
0.000613,12,9.913639
0.00062,12,9.93922
0.000559,12,9.964868
0.000623,12,9.990955
0.000616,12,10.016695
0.000621,12,10.042078
0.000568,12,10.067537
0.000468,12,10.092736
0.000619,12,10.118267
0.000621,12,10.143587
0.000626,12,10.169133
0.0005,12,10.194549
0.000688,12,10.221733
0.000619,12,10.247301
0.000493,12,10.273228
0.00048,12,10.298607
0.000624,12,10.323927
0.000532,12,10.349372
0.000615,12,10.375164
0.000505,12,10.400761
0.000627,12,10.426284
0.00049,12,10.451723
0.000523,12,10.477088
0.000607,12,15.908658
0.000637,12,15.935995
0.000617,12,15.961797
0.000601,12,15.987203
0.000623,12,16.012577
0.000621,12,16.037666
0.000576,12,16.063074
0.000612,12,16.088748
0.000546,12,16.114144
0.000643,12,16.139804
0.000623,12,16.165603
0.000583,12,16.191186
0.000623,12,16.217083
0.000555,12,16.242597
0.0006,12,16.267926
0.000493,12,16.293393
0.00062,12,16.319046
0.000623,12,16.344929
0.000619,12,16.370706
0.000492,12,16.396376
0.000615,12,16.422042
0.000567,12,16.447215
0.000469,12,16.472249
0.000621,12,16.497746
0.000619,12,16.523175
0.000483,12,16.548678
0.000586,12,16.574444
0.000535,12,16.600025
0.00062,12,16.625882
0.00064,12,16.652287
0.000622,12,16.679003
0.00053,12,16.704312
0.000618,12,16.729628
0.000607,12,16.754922
0.000584,12,16.780591
0.000614,12,16.806174
0.000612,12,16.831901
0.000619,12,16.857544
0.00063,12,16.968712
0.000562,12,16.99469
0.000624,12,17.021243
0.000627,12,17.047563
0.000624,12,17.073272
0.000629,12,17.09907
0.000624,12,17.124708
0.000573,12,17.150778
0.000628,12,17.176791
0.000633,12,17.202822
0.000545,12,17.228667
0.000545,12,17.254749
0.000486,12,17.2806
0.000561,12,17.306573
0.000546,12,17.332485
0.000616,12,17.35892
0.000642,12,17.38527
0.000634,12,17.411393
0.000619,12,17.437172
0.000547,12,17.463065
0.000647,12,17.490604
0.000705,12,17.518174
0.000501,12,17.543888
0.000479,12,17.569791
0.000634,12,17.596818
0.000542,12,17.622536
0.000475,12,17.648265
0.000615,12,17.676104
0.000733,12,17.703848
0.000507,12,17.729878
0.00062,12,17.755847
0.000626,12,17.781941
0.000619,12,17.807817
0.000534,12,17.833645
0.000483,12,17.859055
0.000597,12,17.884823
0.000612,12,17.911467
0.000706,12,17.939765
0.000575,12,17.966023
