#{"t_start": 1680888984.2881634, "env_id": "JPEGEncode-v0"}
r,l,t
0.000572,12,7.334268
0.000483,12,7.373297
0.000643,12,7.413067
0.000486,12,7.457788
0.000524,12,7.496929
0.000479,12,7.536172
0.000476,12,7.575613
0.00064,12,7.616106
0.000633,12,7.656389
0.000471,12,7.695563
0.000546,12,7.735394
0.000598,12,7.774904
0.000501,12,7.814751
0.00052,12,7.854194
0.000642,12,7.894045
0.00058,12,7.933477
0.000642,12,7.973185
0.000629,12,8.012614
0.000621,12,8.051762
0.000628,12,8.090522
0.000563,12,8.129632
0.000536,12,8.168285
0.000617,12,8.213235
0.000629,12,8.252166
0.000625,12,8.29111
0.000566,12,8.330301
0.000631,12,8.369731
0.000569,12,8.409195
0.000629,12,8.448355
0.000626,12,8.488236
0.000597,12,8.527183
0.000626,12,8.566302
0.000629,12,8.605141
0.000631,12,8.644585
0.000643,12,8.683808
0.00048,12,8.722667
0.000626,12,8.761723
0.000636,12,8.801039
0.000631,12,8.840102
0.000525,12,8.87923
0.000653,12,8.924197
0.000637,12,8.963517
0.000475,12,9.001886
0.000572,12,9.041366
0.000625,12,9.080559
0.000558,12,9.119514
0.000495,12,9.158498
0.000619,12,9.197426
0.000648,12,9.236111
0.000608,12,9.275163
0.000637,12,9.314131
0.000473,12,9.352861
0.000617,12,9.392071
0.000474,12,9.431371
0.000612,12,9.470301
0.000493,12,9.509339
0.000633,12,9.548715
0.00054,12,9.58788
0.000469,12,9.62619
0.000587,12,9.670629
0.000557,12,9.709437
0.000632,12,9.748738
0.000606,12,9.788497
0.0005,12,9.827671
0.000557,12,9.866631
0.000576,12,9.906137
0.000616,12,9.944433
0.000634,12,9.984211
0.000616,12,10.023341
0.000632,12,10.062903
0.000496,12,10.101214
0.000624,12,10.14044
0.000602,12,10.179914
0.000639,12,10.21935
0.000612,12,10.259084
0.0005,12,10.298148
0.000607,12,10.337444
0.000616,12,10.376158
0.000622,12,10.420657
0.000504,12,10.459699
0.000633,12,10.498759
0.0006,12,10.537976
0.00063,12,10.576953
0.00049,12,10.615389
0.000633,12,10.653932
0.00059,12,15.337033
0.000494,12,15.375616
0.000473,12,15.414015
0.000482,12,15.452362
0.000466,12,15.490702
0.000486,12,15.528791
0.000464,12,15.566929
0.000463,12,15.605241
0.000466,12,15.645226
0.000508,12,15.683696
0.000471,12,15.721903
0.000499,12,15.763998
0.000479,12,15.806144
0.000481,12,15.847893
0.000482,12,15.892549
0.000474,12,15.934906
0.000472,12,15.977183
0.000477,12,16.019708
0.00048,12,16.061669
0.000478,12,16.103984
0.000488,12,16.146626
0.000485,12,16.189353
0.000475,12,16.232458
0.000485,12,16.275418
0.000499,12,16.318533
0.000472,12,16.361493
0.000473,12,16.40475
0.000503,12,16.447616
0.000499,12,16.490262
0.000512,12,16.533151
0.000474,12,16.576337
0.000487,12,16.622458
0.000499,12,16.664169
0.000474,12,16.703164
0.000472,12,16.743218
0.000489,12,16.786325
0.000487,12,16.82937
0.000472,12,16.871903
0.000497,12,16.914419
0.000489,12,16.957513
0.000509,12,17.00055
0.000475,12,17.043513
0.000473,12,17.08627
0.00047,12,17.128711
0.000489,12,17.171601
0.000491,12,17.214641
0.000487,12,17.258048
0.000493,12,17.300469
0.000483,12,17.346309
0.000504,12,17.389497
0.00049,12,17.432649
0.000472,12,17.47499
0.000494,12,17.518031
0.000469,12,17.561223
0.000487,12,17.603968
0.000518,12,17.647093
0.000479,12,17.68977
0.000498,12,17.732549
0.000476,12,17.774678
0.000485,12,17.817879
0.000484,12,17.860735
0.000502,12,17.903038
0.000504,12,17.94541
0.000473,12,17.987553
0.000478,12,18.029795
0.000491,12,18.074866
0.000464,12,18.116983
0.000527,12,18.159298
0.000463,12,18.201281
0.000466,12,18.243334
0.000484,12,18.285333
0.000488,12,18.327615
0.000474,12,18.370013
0.000469,12,18.412083
0.000465,12,18.454146
0.000474,12,18.496012
0.000488,12,18.538216
0.000484,12,18.580181
0.000483,12,18.622376
0.000479,12,18.664622
0.000467,12,18.706384
0.000464,12,18.748291
0.000494,12,18.792578
0.00047,12,18.834897
0.000469,12,18.877216
0.000538,12,23.936931
0.000653,12,23.981312
0.000627,12,24.025046
0.000588,12,24.069295
0.00065,12,24.113848
0.000627,12,24.157322
0.000638,12,24.201381
0.000627,12,24.245441
0.000642,12,24.291951
0.000585,12,24.336209
0.000629,12,24.380239
0.000636,12,24.424136
0.000599,12,24.467713
0.000481,12,24.511479
0.000631,12,24.554709
0.000594,12,24.598835
0.000632,12,24.642539
0.000629,12,24.686618
0.000626,12,24.730393
0.000638,12,24.774515
0.000632,12,24.817994
0.000637,12,24.861265
0.000629,12,24.904279
0.000491,12,24.947446
0.000632,12,24.991263
0.000606,12,25.034074
0.000484,12,25.078061
0.000629,12,25.121926
0.000515,12,25.168751
0.000611,12,25.212799
0.00064,12,25.256629
0.000627,12,25.300543
0.000509,12,25.343937
0.000636,12,25.387787
0.000628,12,25.431132
0.000633,12,25.475539
0.000639,12,25.519159
0.000634,12,25.56249
0.000475,12,25.755512
0.000623,12,25.799189
0.000476,12,25.842665
0.000489,12,25.885933
0.000628,12,25.929935
0.000535,12,25.973269
0.000635,12,26.02047
0.000632,12,26.065043
0.000635,12,26.108618
0.000633,12,26.152822
0.000464,12,26.195109
0.000633,12,26.23864
0.000623,12,26.282406
0.000621,12,26.325455
0.000587,12,26.36899
0.00064,12,26.412639
0.000477,12,26.455861
0.000623,12,26.499407
0.000567,12,26.542172
0.000474,12,26.585391
0.000525,12,26.628271
0.000477,12,26.671424
0.000466,12,26.714563
0.000646,12,26.758869
0.000477,12,26.802024
0.000471,12,26.845577
0.00301,12,26.892564
0.000478,12,26.93582
0.0005,12,26.979631
0.000498,12,27.023608
0.000623,12,27.067444
0.000471,12,27.111355
0.000643,12,27.155107
0.000634,12,27.199189
0.000631,12,27.242515
0.000604,12,27.286593
0.000635,12,27.330644
0.000638,12,27.37477
0.000635,12,27.419087
0.000565,12,27.462632
0.000471,12,27.505463
0.000532,12,27.548149
0.000645,12,27.592355
0.000547,12,27.635243
0.000659,12,27.679047
0.000632,12,27.722862
0.00063,12,27.769192
0.000632,12,27.813178
0.000536,12,32.879369
0.000478,12,32.922491
0.000477,12,32.965226
0.000529,12,33.007605
0.000481,12,33.050227
0.000511,12,33.092987
0.000475,12,33.135629
0.000592,12,33.177976
0.000469,12,33.220376
0.000545,12,33.262822
0.000479,12,33.305621
0.000524,12,33.348312
0.000475,12,33.390247
0.000476,12,33.432661
0.000475,12,33.47526
0.000501,12,33.517357
0.000487,12,33.559847
0.000471,12,33.60217
0.000465,12,33.644262
0.000475,12,33.686915
0.000522,12,33.729272
0.000488,12,33.771911
0.000488,12,33.814462
0.000488,12,33.856826
0.000465,12,33.898878
0.000479,12,33.941205
0.000478,12,33.983242
0.000476,12,34.024781
0.000496,12,34.070298
0.000474,12,34.112633
0.000475,12,34.154825
0.000481,12,34.197135
0.000463,12,34.239076
0.000503,12,34.282411
0.000476,12,34.32435
0.000469,12,34.366606
0.00047,12,34.408904
0.000521,12,34.451451
0.000485,12,34.494099
0.000524,12,34.536923
0.000464,12,34.579165
0.000475,12,34.621354
0.000519,12,34.663769
0.000531,12,34.706168
0.000477,12,34.748433
0.000484,12,34.790693
0.000555,12,34.83291
0.000468,12,34.875231
0.000466,12,34.917449
0.000558,12,34.960363
0.000468,12,35.002947
0.000469,12,35.044649
0.000481,12,35.089577
0.000505,12,35.131861
0.000508,12,35.174093
0.000498,12,35.216049
0.000466,12,35.258267
0.000472,12,35.300522
0.000473,12,35.342666
0.000461,12,35.385029
0.000466,12,35.426872
0.000592,12,35.469764
0.000464,12,35.51169
0.000645,12,35.554492
0.000474,12,35.596678
0.000477,12,35.638656
0.000483,12,35.681035
0.000535,12,35.723969
0.000536,12,35.766145
0.000572,12,35.808762
0.000489,12,35.850538
0.000476,12,35.892894
0.000489,12,35.935239
0.000465,12,35.977072
0.000494,12,36.019457
0.000479,12,36.061663
0.000549,12,36.10476
0.000492,12,36.149356
0.000484,12,36.191759
0.000487,12,36.234426
0.000554,12,36.276745
0.000502,12,36.319215
0.000478,12,36.361699
0.000486,12,36.403772
0.000471,12,36.445618
0.000591,12,41.492416
0.000467,12,41.535093
0.000464,12,41.576844
0.000468,12,41.619272
0.000467,12,41.661493
0.000467,12,41.703676
0.000472,12,41.745944
0.000467,12,41.788145
0.000467,12,41.830626
0.000467,12,41.872521
0.00047,12,41.914849
0.000471,12,41.956791
0.000467,12,41.999026
0.000466,12,42.041333
0.000465,12,42.083377
0.000464,12,42.12556
0.000467,12,42.17057
0.000463,12,42.212904
0.000462,12,42.254541
0.000474,12,42.296772
0.000468,12,42.339017
0.000468,12,42.381147
0.000464,12,42.423425
0.000465,12,42.465591
0.000473,12,42.50764
0.000462,12,42.550242
0.000479,12,42.592533
0.000463,12,42.63474
0.000462,12,42.67657
0.000463,12,42.718586
0.000462,12,42.760643
0.000463,12,42.802352
0.000464,12,42.844856
0.000463,12,42.886843
0.000462,12,42.928878
0.000466,12,42.970848
0.000463,12,43.01284
0.000481,12,43.054833
0.000467,12,43.097093
0.000461,12,43.139122
0.000463,12,43.180594
0.000465,12,43.222411
0.000464,12,43.264253
0.000463,12,43.306174
0.000464,12,43.348308
0.000462,12,43.390269
0.000464,12,43.435423
0.000465,12,43.477616
0.000463,12,43.519696
0.000466,12,43.562023
0.000463,12,43.603895
0.000474,12,43.646285
0.000465,12,43.688643
0.000465,12,43.730815
0.000465,12,43.772856
0.000463,12,43.814733
0.000467,12,43.856996
0.000464,12,43.899047
0.000466,12,43.941365
0.000465,12,43.983618
0.000469,12,44.025434
0.000466,12,44.067622
0.000461,12,44.109256
0.000468,12,44.151144
0.000462,12,44.193296
0.000464,12,44.235585
0.000466,12,44.277543
0.000466,12,44.319887
0.000479,12,44.362316
0.000472,12,44.404812
0.000474,12,44.446949
0.000471,12,44.489218
0.000473,12,44.531215
0.000465,12,44.573514
0.000465,12,44.615562
0.000465,12,44.76179
0.000463,12,44.804041
0.000479,12,44.846175
0.000465,12,44.888429
0.000462,12,44.930269
0.000463,12,44.972455
0.000471,12,45.014538
0.000463,12,45.056913
0.000464,12,45.099095
0.000464,12,45.14089
0.000578,12,50.227486
0.000466,12,50.270174
0.000464,12,50.312495
0.000463,12,50.354128
0.000464,12,50.39643
0.000465,12,50.438306
0.000465,12,50.480618
0.000467,12,50.523036
0.000474,12,50.565655
0.000464,12,50.608053
0.000464,12,50.650394
0.000492,12,50.692735
0.000465,12,50.734731
0.000462,12,50.7771
0.000464,12,50.819368
0.000478,12,50.861382
0.000464,12,50.903741
0.000465,12,50.945863
0.000464,12,50.987982
0.000477,12,51.030225
0.000463,12,51.072117
0.000467,12,51.117329
0.000466,12,51.159445
0.000464,12,51.201571
0.000463,12,51.243914
0.000477,12,51.286141
0.000464,12,51.328277
0.000465,12,51.369918
0.000474,12,51.412221
0.000462,12,51.454155
0.000463,12,51.496289
0.000465,12,51.537976
0.000475,12,51.580232
0.000465,12,51.622392
0.000464,12,51.664602
0.000464,12,51.706791
0.000464,12,51.748846
0.000463,12,51.790912
0.000463,12,51.833237
0.000465,12,51.875234
0.000465,12,51.917481
0.000465,12,51.959439
0.00047,12,52.001604
0.000465,12,52.043703
0.000465,12,52.085756
0.000464,12,52.128061
0.000467,12,52.169954
0.000462,12,52.212268
0.000464,12,52.254614
0.000464,12,52.296464
0.000463,12,52.338517
0.000464,12,52.380146
0.000466,12,52.422468
0.000465,12,52.464339
0.000466,12,52.506809
0.000464,12,52.549615
0.000466,12,52.591886
0.000465,12,52.637656
0.000464,12,52.679986
0.000464,12,52.722153
0.000469,12,52.763987
0.000465,12,52.806329
0.000465,12,52.848694
0.000463,12,52.890868
0.000464,12,52.933369
0.000464,12,52.975162
0.000465,12,53.017617
0.000464,12,53.059996
0.000463,12,53.10221
0.000463,12,53.144282
0.000465,12,53.186177
0.000476,12,53.228795
0.000463,12,53.270793
0.000464,12,53.313034
0.000465,12,53.355333
0.000463,12,53.397151
0.000469,12,53.439507
0.000464,12,53.481702
0.000466,12,53.523962
0.000462,12,53.566264
0.000466,12,53.608464
0.000465,12,53.650684
0.000464,12,53.692734
0.000466,12,53.735224
0.000469,12,53.777413
0.000472,12,53.819462
0.00047,12,58.855932
0.000465,12,58.898292
0.000464,12,58.940675
0.000466,12,58.983023
0.000464,12,59.025117
0.000463,12,59.067455
0.000472,12,59.109995
0.000463,12,59.152154
0.000464,12,59.194588
0.000464,12,59.236633
0.000464,12,59.278901
0.000469,12,59.320805
0.000465,12,59.363175
0.000464,12,59.405137
0.000466,12,59.447216
0.000463,12,59.489408
0.000465,12,59.531128
0.000462,12,59.573114
0.000465,12,59.614797
0.000466,12,59.656808
0.000464,12,59.698866
0.000465,12,59.740819
0.000462,12,59.78287
0.000463,12,59.824947
0.000465,12,59.867023
0.000464,12,59.908926
0.000465,12,59.951049
0.000467,12,59.993154
0.000464,12,60.035088
0.000462,12,60.080006
0.000463,12,60.121875
0.000464,12,60.163888
0.00047,12,60.205863
0.000463,12,60.247779
0.000465,12,60.289837
0.000467,12,60.331495
0.000476,12,60.373514
0.000497,12,60.415564
0.000462,12,60.457458
0.000464,12,60.499624
0.000462,12,60.540986
0.00047,12,60.582959
0.000462,12,60.624396
0.000463,12,60.666485
0.000464,12,60.708629
0.000462,12,60.750152
0.000462,12,60.792473
0.000472,12,60.83462
0.000463,12,60.876719
0.000463,12,60.919006
0.000464,12,60.96099
0.000462,12,61.003182
0.000463,12,61.045242
0.000469,12,61.087282
0.000462,12,61.129302
0.000464,12,61.17154
0.000464,12,61.213493
0.000475,12,61.255696
0.000463,12,61.297807
0.000464,12,61.339543
0.000463,12,61.381483
0.000471,12,61.423558
0.000462,12,61.465216
0.000464,12,61.507013
0.000466,12,61.551637
0.000465,12,61.593746
0.000475,12,61.635469
0.000463,12,61.677469
0.000464,12,61.719534
0.000463,12,61.761765
0.000463,12,61.803966
0.000463,12,61.845939
0.000463,12,61.887838
0.000468,12,61.92975
0.000462,12,61.971372
0.000463,12,62.01339
0.000464,12,62.055256
0.000465,12,62.097367
0.000463,12,62.13938
0.000462,12,62.180776
0.000462,12,62.222795
0.000463,12,62.264786
0.000462,12,62.306836
0.000463,12,62.348787
0.000463,12,62.391004
0.00052,12,67.432069
0.000466,12,67.478786
0.000464,12,67.521247
0.000467,12,67.563581
0.000465,12,67.606237
0.000467,12,67.648519
0.000465,12,67.690301
0.000465,12,67.732623
0.000465,12,67.774442
0.000462,12,67.816835
0.000466,12,67.859207
0.000463,12,67.901095
0.000475,12,67.943467
0.000465,12,67.985759
0.000462,12,68.028156
0.000463,12,68.070155
0.000463,12,68.112295
0.000464,12,68.154549
0.00046,12,68.196547
0.000463,12,68.238662
0.000462,12,68.280564
0.000463,12,68.322712
0.000461,12,68.364903
0.000466,12,68.406729
0.000464,12,68.448985
0.000461,12,68.490811
0.000461,12,68.532923
0.000467,12,68.575382
0.000466,12,68.718506
0.000468,12,68.760799
0.000461,12,68.802593
0.000462,12,68.845016
0.000463,12,68.887083
0.000462,12,68.928993
0.00046,12,68.970873
0.00046,12,69.013923
0.000473,12,69.056412
0.000462,12,69.098613
0.000462,12,69.140592
0.000479,12,69.182975
0.000462,12,69.225513
0.000481,12,69.267457
0.00047,12,69.309272
0.000462,12,69.351301
0.000474,12,69.393462
0.000467,12,69.435603
0.000461,12,69.477687
0.000464,12,69.519513
0.000462,12,69.561549
0.000461,12,69.603918
0.000463,12,69.646025
0.000461,12,69.688018
0.000463,12,69.729409
0.000462,12,69.771642
0.000461,12,69.813276
0.000462,12,69.85551
0.000461,12,69.897694
0.000462,12,69.93973
0.000462,12,69.981894
0.000459,12,70.024119
0.000465,12,70.066607
0.000463,12,70.108551
0.000462,12,70.150392
0.000461,12,70.192657
0.000462,12,70.234787
0.00046,12,70.277019
0.000466,12,70.318878
0.000461,12,70.360966
0.000463,12,70.403249
0.000462,12,70.445293
0.000461,12,70.487882
0.000477,12,70.529853
0.000459,12,70.571958
0.000481,12,70.614417
0.000462,12,70.656004
0.000463,12,70.697934
0.000461,12,70.739693
0.000463,12,70.784871
0.000461,12,70.826673
0.000461,12,70.868627
0.000461,12,70.910581
0.000467,12,70.952538
0.000466,12,70.994532
0.000466,12,71.036566
0.000473,12,71.078747
0.000525,12,76.134205
0.000469,12,76.176605
0.000473,12,76.219139
0.00047,12,76.261549
0.000468,12,76.304025
0.000468,12,76.346418
0.000483,12,76.389106
0.000468,12,76.431627
0.000472,12,76.473972
0.000467,12,76.516362
0.000468,12,76.558769
0.000468,12,76.601068
0.000474,12,76.64345
0.000468,12,76.685557
0.000468,12,76.727732
0.000471,12,76.769939
0.000467,12,76.812034
0.000467,12,76.854139
