#{"t_start": 1682494993.659986, "env_id": "FuzzGym-v0"}
r,l,t
95.705104,11,3.708435
95.68942,11,3.902582
95.719402,11,4.129253
95.686916,11,4.344097
95.702426,11,4.585889
95.711314,11,4.83676
95.694902,11,5.031962
95.698131,11,5.258557
95.689925,11,5.502276
95.696144,11,5.718175
95.696412,11,5.93657
95.703613,11,6.169047
95.689739,11,6.383033
95.6878,11,6.558669
95.704184,11,6.757232
95.687723,11,6.922868
95.708901,11,7.195669
95.704366,11,7.422644
95.689175,11,7.640319
95.687575,11,7.823112
95.688999,11,8.000558
95.72049,11,8.218387
95.712405,11,8.483431
95.705596,11,8.731259
95.688212,11,8.947593
95.698086,11,9.193573
95.701958,11,9.406158
95.71031,11,9.594296
95.687454,11,9.789881
95.68702,11,9.991875
95.691057,11,10.221007
95.699008,11,10.431974
95.703169,11,10.630753
95.688691,11,10.851821
95.693104,11,11.061728
95.700993,11,11.300544
95.687729,11,11.530322
95.689084,11,11.732049
95.686879,11,11.958654
95.703499,11,12.181073
95.728856,11,12.421748
95.708257,11,12.693788
95.714926,11,12.915906
95.697229,11,13.101914
95.6873,11,13.284306
95.698179,11,13.490152
95.713741,11,13.730662
95.688482,11,13.953385
95.703859,11,14.169912
95.690108,11,14.429218
95.701788,11,14.636007
95.729587,11,14.954439
95.703207,11,15.169055
95.687537,11,15.354775
95.689515,11,15.560447
95.688443,11,15.783793
95.708742,11,16.007532
95.687343,11,16.236424
95.704043,11,16.503948
95.71606,11,16.739418
95.704986,11,17.007817
95.695326,11,17.229898
95.691392,11,17.467497
95.695628,11,17.688386
95.720718,11,17.961297
95.711851,11,18.192344
95.707273,11,18.402919
95.74349,11,18.67315
95.688877,11,18.898815
95.705287,11,19.146922
95.699325,11,19.392009
95.688257,11,19.57276
95.70616,11,19.815504
95.687502,11,20.038503
95.706091,11,20.305441
95.703493,11,20.48588
95.703413,11,20.737199
95.686928,11,20.912049
95.708342,11,21.133203
95.699404,11,21.344799
95.687386,11,21.535325
95.695433,11,21.740969
95.69606,11,21.965182
95.703771,11,22.210617
95.715898,11,22.414997
95.689544,11,22.630831
95.690042,11,22.807302
95.689721,11,22.990869
95.687655,11,23.189581
95.704461,11,23.423525
95.693443,11,23.613986
95.71266,11,23.807163
95.688217,11,24.048974
95.864301,11,29.06725
95.713246,11,29.54238
95.69009,11,29.798087
95.722096,11,30.088361
95.716354,11,30.424408
95.70483,11,30.922336
