#{"t_start": 1680666561.2543201, "env_id": "CartPole-v1"}
r,l,t
35.0,35,0.188631
12.0,12,0.19628
49.0,49,0.312614
22.0,22,0.406243
19.0,19,0.492656
63.0,63,0.67897
12.0,12,0.685868
39.0,39,0.784211
155.0,155,1.244765
136.0,136,1.622723
96.0,96,1.907131
22.0,22,1.99469
103.0,103,2.265425
115.0,115,2.63686
141.0,141,3.028493
194.0,194,3.578606
55.0,55,3.891047
49.0,49,4.089133
108.0,108,4.371799
169.0,169,4.802682
374.0,374,5.902445
500.0,500,7.41189
500.0,500,9.404695
500.0,500,10.829317
