#{"t_start": 1680666561.248489, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.038636
17.0,17,0.196158
18.0,18,0.207925
14.0,14,0.30041
17.0,17,0.311371
37.0,37,0.415401
48.0,48,0.595122
17.0,17,0.604514
16.0,16,0.687649
18.0,18,0.697785
23.0,23,0.787248
66.0,66,0.975834
23.0,23,1.061956
138.0,138,1.4287
81.0,81,1.711254
126.0,126,2.082204
71.0,71,2.264649
101.0,101,2.548061
43.0,43,2.654568
137.0,137,3.118017
217.0,217,3.756609
44.0,44,3.992585
37.0,37,4.102239
107.0,107,4.384029
183.0,183,4.889737
105.0,105,5.175435
500.0,500,6.70078
500.0,500,8.775502
500.0,500,10.116784
