#{"t_start": 1680666561.255397, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.025779
19.0,19,0.040471
11.0,11,0.191053
15.0,15,0.201155
11.0,11,0.291724
25.0,25,0.308462
26.0,26,0.405233
36.0,36,0.501933
15.0,15,0.58661
17.0,17,0.596039
34.0,34,0.689253
15.0,15,0.773598
128.0,128,1.145507
19.0,19,1.157039
141.0,141,1.60977
132.0,132,1.990384
111.0,111,2.266001
144.0,144,2.733252
129.0,129,3.115073
220.0,220,3.885028
43.0,43,3.992062
36.0,36,4.099684
113.0,113,4.453181
166.0,166,4.881187
365.0,365,5.909281
500.0,500,7.418847
500.0,500,9.482027
500.0,500,10.836624
