#{"t_start": 1680727488.4124002, "env_id": "JPEGEncode-v0"}
r,l,t
0.000631,12,0.158939
0.000557,12,0.211469
0.000433,12,0.260477
0.00057,12,0.30796
0.000592,12,0.356901
0.000606,12,0.406306
0.000586,12,0.455563
0.00061,12,0.505585
0.000502,12,0.556903
0.000472,12,0.608466
0.000601,12,0.663913
0.000617,12,0.717625
0.000531,12,0.771494
0.000582,12,0.825843
0.000563,12,0.877288
0.000632,12,0.927292
0.000605,12,0.978266
0.00055,12,1.02789
0.000516,12,1.076606
0.000543,12,1.124145
0.000531,12,1.174562
0.000599,12,1.225536
0.000607,12,1.278532
0.000638,12,1.329622
0.000606,12,1.382119
0.000609,12,1.432841
0.000639,12,1.485824
0.000543,12,1.537684
0.000604,12,1.587641
0.000494,12,1.637785
0.000638,12,1.688738
0.000551,12,1.739156
0.000454,12,1.791017
0.000599,12,1.842135
0.000437,12,1.892977
0.000598,12,1.942293
0.00062,12,1.993896
0.000569,12,2.044327
0.000573,12,2.095118
0.000592,12,2.144184
0.000539,12,2.193396
0.000544,12,2.241411
0.000636,12,2.29992
0.000612,12,2.348961
0.000597,12,2.396321
0.000605,12,2.44517
0.000482,12,2.492867
0.000637,12,2.542302
0.000567,12,2.591418
0.000533,12,2.644801
0.000437,12,2.693603
0.000607,12,2.742827
0.000516,12,2.791413
0.000601,12,2.840604
0.000528,12,2.89167
0.000615,12,2.943199
0.000451,12,2.992191
0.000521,12,3.039617
0.00045,12,3.088634
0.000594,12,3.136052
0.000498,12,3.186389
0.000599,12,3.235467
0.000471,12,3.284695
0.000589,12,3.333657
0.000588,12,3.381139
0.00059,12,3.430415
0.000592,12,3.479286
0.000598,12,3.527537
0.000569,12,3.578183
0.000592,12,3.627031
0.000588,12,3.676512
0.000597,12,3.725152
0.000596,12,3.77574
0.000574,12,3.82293
0.000544,12,3.870254
0.000636,12,3.922337
0.000526,12,3.976647
0.000483,12,4.0304
0.000613,12,4.083769
0.000574,12,4.134021
0.000479,12,4.185204
0.000593,12,4.233618
0.000594,12,4.28235
0.000597,12,4.330017
0.000602,12,4.377784
