#{"t_start": 1680727488.413186, "env_id": "JPEGEncode-v0"}
r,l,t
0.000624,12,0.158677
0.00055,12,0.211142
0.000614,12,0.260154
0.000587,12,0.307631
0.000564,12,0.356557
0.000616,12,0.405967
0.000564,12,0.4552
0.000593,12,0.505245
0.0006,12,0.556585
0.000594,12,0.60816
0.000451,12,0.663556
0.000594,12,0.717277
0.00063,12,0.771238
0.00058,12,0.825507
0.0006,12,0.876973
0.000626,12,0.926961
0.000587,12,0.977937
0.000553,12,1.027556
0.000589,12,1.076281
0.000576,12,1.123809
0.000598,12,1.174223
0.000619,12,1.225249
0.000591,12,1.27825
0.000622,12,1.329279
0.000625,12,1.38187
0.0006,12,1.432515
0.00064,12,1.485496
0.000616,12,1.537349
0.000447,12,1.587285
0.00056,12,1.637447
0.000592,12,1.688419
0.000595,12,1.738814
0.000638,12,1.790837
0.000515,12,1.841785
0.000625,12,1.892654
0.000473,12,1.941951
0.000648,12,1.993581
0.000632,12,2.044005
0.00047,12,2.094793
0.000596,12,2.143852
0.000571,12,2.193048
0.000584,12,2.241109
0.00057,12,2.299563
0.000567,12,2.348603
0.000508,12,2.395962
0.000592,12,2.444844
0.000588,12,2.492543
0.000452,12,2.54195
0.00053,12,2.591059
0.000604,12,2.64448
0.000483,12,2.693254
0.000554,12,2.742505
0.000476,12,2.791059
0.0006,12,2.840289
0.000572,12,2.891324
0.000598,12,2.942856
0.00061,12,2.991916
0.00053,12,3.03928
0.000512,12,3.088298
0.000582,12,3.135711
0.000469,12,3.186037
0.000552,12,3.235142
0.000602,12,3.28436
0.000556,12,3.333347
0.000436,12,3.380888
0.000593,12,3.430073
0.000449,12,3.47892
0.000602,12,3.527196
0.000537,12,3.577825
0.000602,12,3.62679
0.000575,12,3.676188
0.000423,12,3.724789
0.000606,12,3.775429
0.000557,12,3.82259
0.000553,12,3.869908
0.000444,12,3.921987
0.000632,12,3.976303
0.000667,12,4.030068
0.000592,12,4.08342
0.000505,12,4.13366
0.000605,12,4.184907
0.000587,12,4.233291
0.000449,12,4.281995
0.000581,12,4.329683
0.000538,12,4.37746
