#{"t_start": 1680900186.2330925, "env_id": "JPEGEncode-v0"}
r,l,t
0.00052,12,7.277005
0.000644,12,7.316765
0.000639,12,7.356236
0.000604,12,7.395597
0.000624,12,7.434787
0.000654,12,7.474576
0.000482,12,7.513789
0.000644,12,7.553229
0.000522,12,7.592845
0.000633,12,7.632474
0.000511,12,7.671476
0.000651,12,7.711293
0.000566,12,7.750805
0.005174,12,7.795808
0.000646,12,7.835337
0.000643,12,7.8749
0.000548,12,7.914183
0.000649,12,7.954301
0.000475,12,7.993068
0.00064,12,8.032725
0.000485,12,8.071922
0.000642,12,8.111652
0.00064,12,8.150909
0.000477,12,8.189889
0.000485,12,8.229511
0.000637,12,8.268383
0.000516,12,8.307436
0.000484,12,8.345871
0.000582,12,8.384906
0.000643,12,8.429878
0.000537,12,8.469595
0.000631,12,8.508731
0.000626,12,8.548342
0.000633,12,8.587535
0.000555,12,8.627163
0.000638,12,8.666712
0.000639,12,8.705489
0.000634,12,8.744497
0.000497,12,8.782963
0.000586,12,8.822107
0.000639,12,8.861371
0.000639,12,8.900716
0.000612,12,8.940313
0.000638,12,8.979755
0.000641,12,9.019457
0.000637,12,9.064014
0.000643,12,9.103441
0.000473,12,9.141617
0.000489,12,9.180448
0.000643,12,9.219245
0.000634,12,9.258239
0.000637,12,9.297059
0.000633,12,9.336035
0.000546,12,9.375305
0.000597,12,9.414828
0.00065,12,9.453812
0.000636,12,9.493459
0.000635,12,9.532251
0.000542,12,9.571368
0.000637,12,9.610195
0.000595,12,9.649627
0.000583,12,9.693643
0.000618,12,9.733398
0.000623,12,9.772549
0.000644,12,9.811547
0.000474,12,9.850159
0.000636,12,9.890113
0.000615,12,9.929034
0.000643,12,9.968259
0.000483,12,10.007877
0.000573,12,10.047725
0.000502,12,10.08712
0.000652,12,10.127079
0.000497,12,10.165908
0.000599,12,10.205763
0.000594,12,10.244697
0.000556,12,10.284162
0.000637,12,10.328125
0.000571,12,10.36714
0.000633,12,10.406285
0.000524,12,10.445815
0.00048,12,10.485168
0.000545,12,10.524461
0.000596,12,10.564415
0.000643,12,10.60367
0.000576,12,15.260868
0.000473,12,15.299445
0.000522,12,15.338085
0.000506,12,15.376696
0.000527,12,15.415312
0.000481,12,15.453759
0.000504,12,15.492164
0.00051,12,15.531136
0.000486,12,15.571454
0.000537,12,15.610186
0.00048,12,15.6492
0.000544,12,15.691728
0.000473,12,15.733955
0.000477,12,15.779015
0.000479,12,15.821194
0.000481,12,15.863926
0.000493,12,15.906521
0.000504,12,15.949078
0.000518,12,15.991698
0.00051,12,16.034389
0.00054,12,16.077308
0.000491,12,16.11999
0.000475,12,16.162749
0.000475,12,16.205312
0.000482,12,16.247777
0.000475,12,16.290379
0.000497,12,16.333036
0.000531,12,16.377724
0.000542,12,16.420862
0.000484,12,16.463492
0.000494,12,16.505726
0.000485,12,16.548165
0.000489,12,16.589104
0.000479,12,16.627712
0.000493,12,16.668052
0.000495,12,16.710275
0.000553,12,16.753225
0.000473,12,16.795329
0.0005,12,16.837834
0.000486,12,16.880236
0.000477,12,16.922853
0.000475,12,16.965602
0.000509,12,17.011221
0.000489,12,17.054083
0.000535,12,17.096936
0.000476,12,17.139766
0.000487,12,17.181888
0.000487,12,17.224675
0.000488,12,17.267644
0.000483,12,17.310221
0.000489,12,17.352949
0.000517,12,17.395194
0.000487,12,17.437426
0.00048,12,17.479877
0.000477,12,17.521817
0.000493,12,17.564274
0.000474,12,17.610003
0.000475,12,17.65254
0.000486,12,17.695026
0.000505,12,17.737747
0.000499,12,17.780265
0.000473,12,17.822583
0.000516,12,17.865251
0.00052,12,17.908148
0.000519,12,17.951078
0.000504,12,17.993675
0.000502,12,18.036647
0.000503,12,18.07918
0.000477,12,18.121779
0.000485,12,18.164573
0.000475,12,18.211646
0.000562,12,18.25485
0.000574,12,18.297854
0.000482,12,18.340813
0.000486,12,18.383579
0.000552,12,18.426435
0.000515,12,18.468956
0.000531,12,18.511539
0.000521,12,18.554553
0.000552,12,18.597384
0.00049,12,18.639971
0.000557,12,18.682523
0.000491,12,18.724796
0.00054,12,18.767634
0.000539,12,18.812872
0.000578,12,23.948617
0.000643,12,23.993119
0.000608,12,24.036628
0.000637,12,24.080658
0.00064,12,24.124542
0.000609,12,24.16859
0.000642,12,24.212933
0.000648,12,24.256643
0.000603,12,24.300594
0.000638,12,24.34442
0.000626,12,24.388571
0.000643,12,24.432528
0.000628,12,24.476382
0.00064,12,24.520557
0.000642,12,24.564266
0.000646,12,24.612533
0.000637,12,24.657024
0.000511,12,24.700788
0.000579,12,24.744758
0.000538,12,24.787262
0.00066,12,24.830562
0.000642,12,24.874429
0.000637,12,24.918101
0.000637,12,24.96219
0.000502,12,25.006095
0.000638,12,25.049677
0.000631,12,25.093451
0.000645,12,25.137168
0.000632,12,25.180923
0.000654,12,25.225543
0.000607,12,25.269569
0.000562,12,25.313458
0.000518,12,25.357126
0.000604,12,25.400583
0.00064,12,25.44444
0.000611,12,25.488399
0.000513,12,25.531502
0.000505,12,25.574162
0.000601,12,25.766937
0.000649,12,25.811333
0.000634,12,25.855213
0.000599,12,25.898914
0.000653,12,25.943023
0.000512,12,25.986649
0.00065,12,26.030594
0.000485,12,26.074435
0.000564,12,26.118066
0.000636,12,26.161757
0.000642,12,26.20585
0.000637,12,26.253646
0.000648,12,26.297523
0.000633,12,26.342403
0.000645,12,26.385947
0.000628,12,26.429615
0.000702,12,26.473724
