#{"t_start": 1680900186.2343125, "env_id": "JPEGEncode-v0"}
r,l,t
0.000651,12,7.276945
0.00062,12,7.31675
0.000645,12,7.356158
0.000479,12,7.395469
0.000585,12,7.434684
0.000617,12,7.474542
0.000647,12,7.513785
0.000638,12,7.553203
0.000588,12,7.592761
0.000623,12,7.632457
0.000631,12,7.671467
0.000632,12,7.711262
0.00064,12,7.750746
0.000625,12,7.795754
0.000637,12,7.835258
0.000635,12,7.87484
0.00058,12,7.914149
0.000637,12,7.954251
0.000618,12,7.993053
0.000611,12,8.032617
0.000577,12,8.071863
0.000637,12,8.111581
0.000475,12,8.150837
0.000635,12,8.18988
0.000636,12,8.229457
0.000489,12,8.268253
0.000652,12,8.307387
0.000468,12,8.345755
0.000614,12,8.384804
0.000639,12,8.42995
0.000623,12,8.469592
0.000631,12,8.508638
0.000631,12,8.548283
0.000575,12,8.587409
0.000638,12,8.627131
0.000639,12,8.666692
0.000478,12,8.705415
0.000541,12,8.74437
0.000534,12,8.782831
0.00063,12,8.822049
0.000637,12,8.861346
0.000628,12,8.900635
0.000654,12,8.940235
0.000613,12,8.979715
0.000639,12,9.019389
0.000471,12,9.063932
0.000639,12,9.103376
0.000478,12,9.141567
0.000482,12,9.180361
0.000474,12,9.21917
0.000523,12,9.258184
0.000539,12,9.296941
0.000502,12,9.33591
0.000541,12,9.375176
0.000617,12,9.414773
0.000611,12,9.453711
0.000623,12,9.493416
0.000636,12,9.53217
0.000643,12,9.571405
0.000472,12,9.610085
0.0006,12,9.64958
0.000624,12,9.693579
0.00063,12,9.733325
0.000476,12,9.772461
0.000568,12,9.811472
0.000566,12,9.850101
0.000581,12,9.889987
0.00058,12,9.9289
0.000512,12,9.968156
0.000605,12,10.007794
0.000622,12,10.047641
0.000619,12,10.087048
0.000629,12,10.126981
0.000551,12,10.165868
0.000628,12,10.205717
0.000612,12,10.244597
0.000645,12,10.284111
0.004698,12,10.328056
0.000527,12,10.367022
0.000592,12,10.406199
0.00063,12,10.445793
0.000627,12,10.485112
0.00063,12,10.524538
0.000635,12,10.564383
0.000597,12,10.603614
0.000638,12,15.260782
0.000527,12,15.299339
0.000511,12,15.338015
0.000484,12,15.376561
0.000513,12,15.415181
0.000482,12,15.453641
0.000473,12,15.492051
0.000507,12,15.531007
0.000494,12,15.571318
0.000482,12,15.610081
0.000497,12,15.649077
