#{"t_start": 1682479091.2107008, "env_id": "FuzzGym-v0"}
r,l,t
104.556692,11,4.021952
104.354918,11,4.23027
104.356769,11,4.435388
104.35187,11,4.613945
104.356024,11,4.82569
104.358705,11,5.061062
104.363667,11,5.270254
104.358242,11,5.470402
104.352991,11,5.700034
104.375107,11,5.904681
104.354154,11,6.088623
104.356857,11,6.295677
104.370626,11,6.526749
104.373348,11,6.751841
104.356931,11,6.954181
104.355953,11,7.16773
104.354558,11,7.388683
104.355754,11,7.593291
104.356307,11,7.81962
104.366554,11,8.022853
104.354924,11,8.250438
104.367427,11,8.446327
104.35466,11,8.67155
104.352797,11,8.885938
104.356651,11,9.12239
104.371241,11,9.372183
104.359818,11,9.576618
104.368544,11,9.82689
104.365595,11,10.031874
104.35943,11,10.231461
104.357018,11,10.430018
104.355081,11,10.635256
104.356853,11,10.830685
104.355284,11,11.033811
104.377537,11,11.272949
104.353144,11,11.458214
104.358731,11,11.656597
104.37025,11,11.890209
104.354115,11,12.081515
104.356723,11,12.301029
104.352389,11,12.497023
104.357564,11,12.692403
104.368893,11,12.901103
104.353972,11,13.104793
104.370376,11,13.314897
104.360578,11,13.51282
104.370769,11,13.734702
104.371545,11,13.953393
104.353079,11,14.154197
104.359549,11,14.346312
104.35871,11,14.566812
