#{"t_start": 1680720630.16582, "env_id": "JPEGEncode-v0"}
r,l,t
0.000587,12,0.093285
0.000619,12,0.120039
0.000475,12,0.147215
0.000621,12,0.175003
0.00062,12,0.20172
0.00069,12,0.22822
0.000566,12,0.253984
0.000733,12,0.282131
0.000607,12,0.308351
0.000632,12,0.336637
0.000748,12,0.364572
0.000786,12,0.393054
0.000555,12,0.422037
0.000642,12,0.448552
0.000593,12,0.475443
0.000451,12,0.502399
0.0006,12,0.530071
0.000497,12,0.554976
0.00067,12,0.58361
0.00073,12,0.611605
0.000718,12,0.638959
0.000612,12,0.666131
0.000622,12,0.6946
0.000603,12,0.721677
0.00075,12,0.748948
0.000691,12,0.776625
0.000546,12,0.802791
0.000693,12,0.829029
0.000633,12,0.856006
0.000577,12,0.882946
0.000624,12,0.908607
0.000593,12,0.935699
0.000441,12,0.96067
0.000546,12,0.987065
0.000576,12,1.015543
0.000839,12,1.045708
0.000592,12,1.072818
0.00051,12,1.098758
0.000516,12,1.125233
0.000638,12,1.151748
0.000598,12,1.178077
0.000619,12,1.205249
0.000607,12,1.23208
0.000613,12,1.257975
0.000561,12,1.285872
0.000574,12,1.313324
0.000571,12,1.341452
0.000832,12,1.370214
0.000666,12,1.399224
0.000455,12,1.426233
0.000516,12,1.453116
0.000643,12,1.480133
0.000588,12,1.506346
0.000611,12,1.53311
0.000618,12,1.557923
0.000633,12,1.585093
0.000638,12,1.611522
0.000662,12,1.637363
0.000566,12,1.665793
0.000602,12,1.695622
0.000448,12,1.721137
0.000565,12,1.747065
0.000603,12,1.773617
0.000578,12,1.799657
0.000598,12,1.826502
0.000618,12,1.853013
0.000686,12,1.880143
0.000699,12,1.907234
0.000589,12,1.934972
0.000546,12,1.962169
0.000547,12,1.987875
0.000561,12,2.014935
0.000583,12,2.042757
0.000599,12,2.070067
0.000596,12,2.096706
0.00054,12,2.122167
0.000647,12,2.149349
0.000644,12,2.174705
0.000541,12,2.199607
0.000617,12,2.226779
0.000643,12,2.256961
0.000556,12,2.285248
0.000591,12,2.311307
0.000587,12,2.337877
0.000558,12,2.364314
