#{"t_start": 1680720692.014053, "env_id": "JPEGEncode-v0"}
r,l,t
0.002911,12,0.10146
0.000726,12,0.129593
0.000664,12,0.158292
0.000604,12,0.185454
0.000594,12,0.212602
0.000619,12,0.239619
0.000469,12,0.266538
0.000605,12,0.293177
0.000535,12,0.319512
0.000544,12,0.345952
0.000659,12,0.375589
0.000659,12,0.402631
0.000621,12,0.429229
0.000632,12,0.456061
0.000645,12,0.483321
0.000631,12,0.510275
0.000646,12,0.537332
0.000652,12,0.565538
0.000719,12,0.594556
0.000731,12,0.624236
0.00072,12,0.654851
0.000702,12,0.685084
0.000602,12,0.713139
0.000654,12,0.742431
0.000669,12,0.771164
0.000572,12,0.798027
0.000549,12,0.825185
0.000646,12,0.852371
0.000628,12,0.879009
0.000742,12,0.908096
0.000695,12,0.936257
0.000616,12,0.964035
0.000695,12,0.992017
0.000734,12,1.021859
0.000657,12,1.051817
0.000575,12,1.080041
0.000511,12,1.106802
0.000586,12,1.133583
0.000516,12,1.16118
0.000688,12,1.189691
0.000634,12,1.216865
0.000586,12,1.244122
0.00067,12,1.271854
0.000631,12,1.299063
0.000618,12,1.326568
0.00076,12,1.356096
0.000751,12,1.386235
0.000691,12,1.414983
0.000656,12,1.442745
0.000539,12,1.469812
0.000698,12,1.498595
0.000595,12,1.526733
0.000618,12,1.554302
0.000669,12,1.581645
0.00067,12,1.609572
0.000681,12,1.637742
0.0006,12,1.664314
0.000571,12,1.691333
0.00071,12,1.719916
0.000621,12,1.746817
0.000631,12,1.773226
0.000695,12,1.801636
0.000673,12,1.829994
0.000711,12,1.859597
0.00071,12,1.890259
0.000734,12,1.92124
0.000571,12,1.948751
0.000709,12,1.976894
0.000698,12,2.006596
0.000848,12,2.037265
0.000684,12,2.065374
0.000645,12,2.092621
0.000586,12,2.119212
0.000524,12,2.145914
0.000578,12,2.173916
0.000524,12,2.202673
0.000665,12,2.230236
0.00062,12,2.256967
0.000506,12,2.283505
0.00054,12,2.31024
0.000615,12,2.337041
0.000603,12,2.364759
0.000638,12,2.392184
0.000578,12,2.420678
