#{"t_start": 1680720692.0171251, "env_id": "JPEGEncode-v0"}
r,l,t
0.000617,12,0.099357
0.000553,12,0.127577
0.000607,12,0.156165
0.000603,12,0.183284
0.000597,12,0.210428
0.000529,12,0.237407
0.000556,12,0.264358
0.000542,12,0.290987
0.000567,12,0.317284
0.000451,12,0.343916
0.000572,12,0.373471
0.000435,12,0.400468
0.000471,12,0.427037
0.000593,12,0.453899
0.000597,12,0.481161
0.000592,12,0.508106
0.000527,12,0.535191
0.00061,12,0.563411
0.000458,12,0.59238
0.000643,12,0.622203
0.000773,12,0.652892
0.000675,12,0.68296
0.000612,12,0.711022
0.00076,12,0.740513
0.000597,12,0.76902
0.000586,12,0.795867
0.000561,12,0.823028
0.00061,12,0.850183
0.000473,12,0.876854
0.000499,12,0.905974
0.000486,12,0.934126
0.000597,12,0.961942
0.000515,12,0.989886
0.000556,12,1.019832
0.000641,12,1.049741
0.000456,12,1.077908
0.000603,12,1.104628
0.000585,12,1.13142
0.000612,12,1.159025
0.000588,12,1.187574
0.000555,12,1.214737
0.000599,12,1.242021
0.000578,12,1.269706
0.000606,12,1.296889
0.000537,12,1.32441
0.000565,12,1.353959
0.000631,12,1.384149
0.000618,12,1.412932
0.00059,12,1.44061
0.000591,12,1.467954
0.000446,12,1.49648
0.000597,12,1.524605
0.000426,12,1.552127
0.000454,12,1.579518
0.000594,12,1.607435
0.000563,12,1.635608
0.000523,12,1.662092
0.000587,12,1.689209
0.000565,12,1.7178
0.00054,12,1.744634
0.000568,12,1.771047
0.000498,12,1.799478
0.00055,12,1.827879
0.000674,12,1.857671
0.000731,12,1.888421
0.000616,12,1.919153
0.00053,12,1.946629
0.000599,12,1.974785
0.000676,12,2.00467
0.000578,12,2.035118
0.000561,12,2.063247
0.000586,12,2.090487
0.000587,12,2.117081
0.000538,12,2.143754
0.000523,12,2.17178
0.00059,12,2.200535
0.000554,12,2.228073
0.000556,12,2.254799
0.000575,12,2.281318
0.000542,12,2.30809
0.00056,12,2.334843
0.000596,12,2.362607
0.000567,12,2.390016
0.00065,12,2.418896
0.00058,12,2.446826
0.00052,12,8.360055
0.000613,12,8.387406
0.000616,12,8.414468
0.000509,12,8.44077
0.000553,12,8.466988
