#{"t_start": 1680730256.0690439, "env_id": "JPEGEncode-v0"}
r,l,t
0.000611,12,4.018529
0.000605,12,4.052971
0.000437,12,4.089035
0.000597,12,4.124667
0.000595,12,4.158688
0.000456,12,4.191418
0.000597,12,4.223311
0.000601,12,4.254919
0.00059,12,4.286411
0.000557,12,4.318818
0.000599,12,4.349801
0.000594,12,4.380717
0.000485,12,4.411232
0.000449,12,4.442387
0.000598,12,4.473414
0.00043,12,4.503988
0.000596,12,4.535127
0.000582,12,4.566808
0.000549,12,4.598684
0.000596,12,4.630518
0.0006,12,4.662254
0.000592,12,4.693376
0.000591,12,4.725226
0.000597,12,4.75667
0.000598,12,4.788416
0.000589,12,4.820722
0.000555,12,4.852427
0.000529,12,4.884503
0.000432,12,4.916023
0.000492,12,4.947303
0.000592,12,4.977829
0.000528,12,5.010035
0.000598,12,5.042795
0.000544,12,5.075012
0.000466,12,5.107672
0.000433,12,5.140985
0.000622,12,5.173838
0.000601,12,5.207221
0.000595,12,5.23894
0.000545,12,5.269729
0.000432,12,5.301438
0.000536,12,5.332706
0.000522,12,5.364883
0.000507,12,5.396414
0.000593,12,5.427425
0.000525,12,5.459027
0.000468,12,5.49134
0.000574,12,5.522357
0.000563,12,5.554843
0.000601,12,5.586665
0.000563,12,5.620906
0.000494,12,5.65739
0.000576,12,5.691022
0.0006,12,5.724336
0.000571,12,5.757004
0.000607,12,5.789225
0.000575,12,5.82288
0.000573,12,5.854212
0.000593,12,5.885698
0.000581,12,5.916106
0.000468,12,5.946797
0.000596,12,5.977786
0.000541,12,6.00871
0.000444,12,6.040125
0.000456,12,6.0705
0.000575,12,6.10189
0.000456,12,6.132969
0.000596,12,6.164037
0.000595,12,6.194699
0.000455,12,6.225852
0.00059,12,6.25678
0.000504,12,6.288057
0.000524,12,6.320688
0.000539,12,6.352316
0.00046,12,6.383548
0.000595,12,6.414745
0.000593,12,6.445156
0.000539,12,6.475883
0.000523,12,6.506976
0.000547,12,6.538949
0.000581,12,6.570168
0.000518,12,6.601391
0.000459,12,6.631416
0.000579,12,6.662215
0.000513,12,6.693321
0.000513,12,11.363098
0.000457,12,11.3948
0.000438,12,11.425838
0.000438,12,11.457171
0.000454,12,11.488432
0.000432,12,11.521092
0.00045,12,11.552295
0.000449,12,11.583136
0.000442,12,11.614124
0.000464,12,11.644534
0.000522,12,11.675375
0.000452,12,11.707475
0.000457,12,11.738405
0.000441,12,11.771314
0.000484,12,11.804239
0.000437,12,11.840165
0.00044,12,11.874951
0.000477,12,11.907845
0.000425,12,11.940217
0.000444,12,11.972106
0.00051,12,12.003745
0.00046,12,12.03585
0.000429,12,12.068393
0.000437,12,12.09892
0.000446,12,12.130013
0.000449,12,12.161752
0.000438,12,12.192335
0.000479,12,12.223191
0.000454,12,12.255569
0.000585,12,12.28811
0.00046,12,12.320835
0.000506,12,12.351881
0.000449,12,12.383459
0.000449,12,12.415242
0.000459,12,12.447743
0.000467,12,12.479832
0.000426,12,12.511136
0.000464,12,12.542106
0.000439,12,12.573538
0.00046,12,12.60463
0.000568,12,12.636958
0.000457,12,12.669239
0.000436,12,12.70024
0.000428,12,12.731155
0.000447,12,12.76218
0.000476,12,12.79359
0.000483,12,12.824706
0.000452,12,12.856613
0.000467,12,12.888544
0.000512,12,12.919686
0.000453,12,12.951418
0.000445,12,12.98499
0.000456,12,13.017707
0.000451,12,13.050818
0.000466,12,13.083191
0.000534,12,13.114922
0.000448,12,13.146782
0.000437,12,13.178776
0.000441,12,13.209863
0.00045,12,13.240253
0.000447,12,13.272233
0.000485,12,13.303674
0.000481,12,13.336139
0.000448,12,13.366767
0.000442,12,13.397993
0.000446,12,13.428913
0.000447,12,13.460329
0.000438,12,13.494055
0.000439,12,13.527483
0.000554,12,13.559491
0.000426,12,13.591022
0.000464,12,13.623165
0.00049,12,13.655324
0.000429,12,13.688357
0.000427,12,13.720818
0.000458,12,13.754565
0.000483,12,13.787683
0.000448,12,13.818632
0.000446,12,13.850901
0.000452,12,13.881865
0.00057,12,13.913626
0.000445,12,13.945229
0.000511,12,13.977091
0.00051,12,14.009557
0.000582,12,14.043991
0.000473,12,18.561126
0.000429,12,18.591825
0.000424,12,18.622583
0.000428,12,18.654733
0.000427,12,18.686266
0.000428,12,18.716738
0.000426,12,18.747647
0.000431,12,18.777658
0.000428,12,18.808469
0.000432,12,18.839182
0.000438,12,18.870003
0.000426,12,18.902739
0.000435,12,18.935352
0.000426,12,18.966388
0.00043,12,18.998833
0.00043,12,19.029752
0.000428,12,19.060799
0.000424,12,19.091433
0.000425,12,19.121904
0.000424,12,19.152814
0.000426,12,19.186919
0.000433,12,19.217147
0.000427,12,19.248142
0.00043,12,19.279616
0.000426,12,19.310797
0.000426,12,19.342043
0.000427,12,19.374604
0.000425,12,19.406264
0.000427,12,19.438792
0.000437,12,19.4721
0.000432,12,19.504589
0.000426,12,19.537398
0.000433,12,19.569744
0.000426,12,19.602593
0.000423,12,19.636436
0.000424,12,19.666692
0.000423,12,19.698193
0.000426,12,19.728712
0.000425,12,19.880277
0.000424,12,19.911792
0.000425,12,19.943861
0.000423,12,19.974907
0.000436,12,20.006836
0.000434,12,20.037774
0.000441,12,20.06837
0.000433,12,20.099233
0.00042,12,20.12957
0.000427,12,20.160324
0.000427,12,20.191035
0.000427,12,20.222319
0.00043,12,20.253285
0.000427,12,20.285012
0.00043,12,20.315369
0.000424,12,20.345858
0.000427,12,20.37671
0.000423,12,20.408038
0.000428,12,20.440371
0.000438,12,20.472751
0.000423,12,20.50514
0.000452,12,20.53847
0.000422,12,20.571077
0.000422,12,20.60271
0.000425,12,20.63476
0.000428,12,20.666626
0.000424,12,20.698537
0.000421,12,20.729792
0.000425,12,20.76023
0.000433,12,20.791622
0.000432,12,20.821822
0.000431,12,20.852374
0.000425,12,20.883294
0.000429,12,20.915015
0.000423,12,20.94721
0.000427,12,20.97963
0.000431,12,21.010284
0.000426,12,21.043326
0.000423,12,21.076311
0.000423,12,21.110833
0.000427,12,21.144709
0.000426,12,21.176842
0.000427,12,21.209514
0.000432,12,21.241334
0.000424,12,21.273337
0.000423,12,21.304982
0.000429,12,21.336881
0.000438,12,21.369734
0.00056,12,25.862929
0.000584,12,25.89508
0.000605,12,25.927758
0.00048,12,25.959854
0.000563,12,25.992536
0.000589,12,26.026154
0.000517,12,26.058489
0.000505,12,26.089972
0.000443,12,26.121979
0.000595,12,26.154653
0.000594,12,26.188171
0.000443,12,26.219227
0.000593,12,26.250352
0.000598,12,26.28277
0.000591,12,26.31543
0.000603,12,26.347296
0.000592,12,26.379659
0.000598,12,26.411865
0.001631,12,26.445068
0.000589,12,26.47712
0.000485,12,26.508835
0.000574,12,26.53994
0.000513,12,26.573219
0.000539,12,26.606121
0.00052,12,26.638469
0.000596,12,26.671631
0.000463,12,26.702941
0.000592,12,26.736139
0.000585,12,26.767711
0.000577,12,26.80071
0.000595,12,26.832366
0.00059,12,26.863985
0.000583,12,26.895826
0.000593,12,26.927537
0.000542,12,26.959076
0.00059,12,26.990348
0.000447,12,27.022963
0.000594,12,27.055968
0.000553,12,27.088362
0.000592,12,27.119938
0.000558,12,27.150976
0.000589,12,27.182929
0.000585,12,27.215051
0.000547,12,27.246687
0.000593,12,27.278378
0.000487,12,27.310374
0.000538,12,27.342623
0.000449,12,27.376289
0.000591,12,27.40851
0.000507,12,27.440377
0.000455,12,27.472527
0.000518,12,27.504606
0.000548,12,27.537561
0.000599,12,27.568956
0.00061,12,27.602441
0.000472,12,27.635771
0.000502,12,27.669611
0.000599,12,27.702561
0.000558,12,27.738295
0.000529,12,27.771729
0.0006,12,27.804137
0.000615,12,27.838466
0.000596,12,27.870948
0.000606,12,27.905218
0.000489,12,27.937031
0.000536,12,27.969844
0.00051,12,28.00176
0.000443,12,28.033551
0.000542,12,28.066939
0.000595,12,28.097811
0.000579,12,28.130238
0.000612,12,28.162003
0.000583,12,28.193647
0.000595,12,28.225339
0.000587,12,28.258072
0.000598,12,28.289501
0.00051,12,28.321984
0.000589,12,28.353752
0.000611,12,28.386749
0.000557,12,28.419737
0.0006,12,28.452377
0.000584,12,28.483659
0.000594,12,28.514714
0.000492,12,28.547717
0.000596,12,28.579585
0.000485,12,33.030669
0.000433,12,33.062537
0.000434,12,33.094603
0.000429,12,33.126124
0.000426,12,33.156833
0.000424,12,33.188641
0.000428,12,33.220509
0.000426,12,33.252668
0.000443,12,33.283605
0.000425,12,33.315804
0.000436,12,33.347757
0.000443,12,33.37811
0.000431,12,33.409753
0.000423,12,33.440466
0.000425,12,33.471202
0.000429,12,33.502488
0.000432,12,33.533653
0.000427,12,33.565081
0.000432,12,33.595671
0.000425,12,33.626032
0.00043,12,33.658614
0.000428,12,33.690423
0.000423,12,33.720901
0.000428,12,33.751397
0.000434,12,33.781719
0.000429,12,33.812407
0.000424,12,33.842979
0.000438,12,33.873207
0.000426,12,33.905649
0.000441,12,33.938241
0.000426,12,33.971189
0.000428,12,34.003488
0.000431,12,34.034543
0.000428,12,34.06531
0.000428,12,34.097693
0.000429,12,34.129964
0.000426,12,34.162415
0.000428,12,34.195931
0.000431,12,34.226356
0.000428,12,34.256958
0.000423,12,34.287821
0.000423,12,34.318805
0.000423,12,34.35017
0.000435,12,34.381279
0.000428,12,34.41276
0.000424,12,34.443992
0.000425,12,34.475961
0.000423,12,34.507055
0.000429,12,34.538539
0.000425,12,34.569888
0.000425,12,34.601927
0.000429,12,34.632788
0.000427,12,34.664454
0.00042,12,34.696895
0.000427,12,34.730549
0.000424,12,34.763508
0.000424,12,34.794259
0.000441,12,34.82624
0.000433,12,34.857037
0.000424,12,34.887658
0.000427,12,34.918287
0.000428,12,34.948808
0.000432,12,34.978945
0.000422,12,35.009531
0.000427,12,35.040179
0.000426,12,35.070413
0.000424,12,35.101445
0.000429,12,35.1327
0.000428,12,35.163746
0.000429,12,35.194789
0.000427,12,35.225829
0.000425,12,35.25725
0.000427,12,35.287689
0.000429,12,35.318032
0.000429,12,35.348879
0.000432,12,35.475801
0.000438,12,35.509083
0.000428,12,35.54208
0.000429,12,35.576526
0.000425,12,35.610976
0.000429,12,35.644491
0.000426,12,35.676913
0.000425,12,35.707143
0.000426,12,35.737399
0.000425,12,35.767458
0.000435,12,40.260522
0.000548,12,40.291652
0.000503,12,40.322164
0.000437,12,40.354082
0.000596,12,40.385401
0.000441,12,40.416903
0.000583,12,40.448624
0.000586,12,40.481357
0.000511,12,40.512591
0.000456,12,40.543572
0.000542,12,40.574735
0.00049,12,40.605537
0.000513,12,40.636119
0.000544,12,40.668481
0.000571,12,40.700467
0.00054,12,40.733566
0.00056,12,40.76498
0.000537,12,40.797327
0.000576,12,40.829961
0.000504,12,40.862381
0.000566,12,40.894917
0.000541,12,40.927364
0.00057,12,40.958726
0.000443,12,40.991724
0.000428,12,41.022953
0.000427,12,41.053796
0.000589,12,41.085546
0.000532,12,41.116525
0.000528,12,41.148543
0.000544,12,41.180219
0.000622,12,41.212314
0.000431,12,41.243367
0.000584,12,41.275485
0.00057,12,41.307345
0.000592,12,41.339476
0.000462,12,41.372534
0.000566,12,41.404554
0.000493,12,41.436489
0.000571,12,41.46963
0.0006,12,41.504077
0.000568,12,41.53827
0.000469,12,41.57309
0.000439,12,41.607525
0.000506,12,41.639959
0.000543,12,41.672587
0.000591,12,41.706009
0.000556,12,41.738251
0.000524,12,41.770643
0.00054,12,41.803568
0.000598,12,41.83479
0.000489,12,41.868361
0.000518,12,41.900742
0.000598,12,41.934513
0.000549,12,41.96699
0.000568,12,41.999454
0.00049,12,42.03185
0.000595,12,42.064513
0.000578,12,42.096697
0.000537,12,42.128825
0.000592,12,42.161644
0.000597,12,42.193862
0.000569,12,42.225162
0.000562,12,42.257636
0.000592,12,42.290834
0.000471,12,42.324175
0.000506,12,42.357417
0.000591,12,42.389913
0.00054,12,42.423676
0.00055,12,42.455065
0.000583,12,42.488297
0.000579,12,42.519459
0.000502,12,42.55201
0.000522,12,42.584468
0.000551,12,42.616872
0.000448,12,42.648897
0.000581,12,42.680643
0.000582,12,42.714042
0.000524,12,42.746592
0.000525,12,42.778277
0.000449,12,42.809946
0.000483,12,42.841614
0.00049,12,42.8738
0.000605,12,42.90621
0.000505,12,42.938704
0.0005,12,42.971647
0.000589,12,43.003073
0.000478,12,47.548613
0.00043,12,47.579354
0.00043,12,47.611047
0.00043,12,47.641648
0.000434,12,47.671877
0.000429,12,47.702361
0.000425,12,47.732523
0.000448,12,47.763603
0.00045,12,47.794217
0.000432,12,47.82529
0.000425,12,47.856941
0.000427,12,47.88779
0.00043,12,47.91783
0.000425,12,47.948436
0.000427,12,47.979651
0.000426,12,48.0121
0.000425,12,48.044163
0.000429,12,48.077207
0.000428,12,48.111392
0.000424,12,48.14299
0.00043,12,48.174061
0.000429,12,48.20745
0.000425,12,48.24013
0.000426,12,48.274085
0.000443,12,48.306201
0.00044,12,48.340879
0.000423,12,48.375801
0.000436,12,48.411841
0.000427,12,48.445096
0.000439,12,48.478451
0.000433,12,48.51015
0.000425,12,48.541695
0.000431,12,48.572555
0.000439,12,48.604364
0.000423,12,48.636414
0.000434,12,48.668409
0.000445,12,48.70177
0.00043,12,48.732914
0.000423,12,48.764228
0.000435,12,48.79447
0.000436,12,48.825697
0.000429,12,48.857496
0.000431,12,48.888738
0.000437,12,48.920289
