#{"t_start": 1680834327.701856, "env_id": "JPEGEncode-v0"}
r,l,t
7.468415,12,7.222333
13.867337,12,7.269632
48.550809,12,7.317376
55.553989,12,7.36596
37.490025,12,7.413268
10.667578,12,7.460533
51.676406,12,7.508237
53.898601,12,7.556694
18.782372,12,7.604117
53.032262,12,7.652574
22.339124,12,7.699367
52.895724,12,7.747504
22.934093,12,7.795099
48.170464,12,7.843018
7.314658,12,7.890856
9.526052,12,7.937522
46.415856,12,7.983915
7.917634,12,8.030734
44.964491,12,8.078851
41.423377,12,8.126514
36.930293,12,8.174481
33.089932,12,8.22169
50.628336,12,8.269477
36.279264,12,8.317412
7.22652,12,8.363998
7.69335,12,8.411289
47.610531,12,8.45826
7.964945,12,8.503427
47.647347,12,8.550886
37.738091,12,8.599087
7.787592,12,8.645445
7.267071,12,8.692631
44.888245,12,8.740489
7.888531,12,8.787506
41.584092,12,8.834767
7.672686,12,8.882133
48.96125,12,8.929298
49.116264,12,8.97708
40.743052,12,9.024956
9.181197,12,9.072239
7.916596,12,9.118739
22.515647,12,9.165244
47.589219,12,9.21117
7.052558,12,9.257747
52.144556,12,9.305836
8.264102,12,9.352662
36.704587,12,9.398829
28.132427,12,9.44545
9.186958,12,9.492282
44.169804,12,9.545715
14.276028,12,9.591533
7.950292,12,9.638311
62.792433,12,9.685491
37.334959,12,9.731813
40.08754,12,9.779122
8.425703,12,9.826595
52.5345,12,9.872861
55.527622,12,9.921055
55.033557,12,9.968482
11.952378,12,10.014955
48.998516,12,10.062893
54.559844,12,10.109859
19.14702,12,10.157435
56.100802,12,10.20526
63.753019,12,10.257573
51.106976,12,10.304984
34.106205,12,10.351554
37.883304,12,10.398108
48.323959,12,10.445291
46.714508,12,10.492603
17.415875,12,10.539298
57.387082,12,10.586391
7.459704,12,10.633961
7.95133,12,10.679122
45.937308,12,10.72641
20.619338,12,10.773167
46.13871,12,10.821292
55.018787,12,10.868791
57.156589,12,10.916005
62.641464,12,10.963006
7.62729,12,11.014967
48.842417,12,11.062643
52.387276,12,11.109296
68.161791,12,11.156603
7.359074,12,11.203333
39.321878,12,15.893476
30.588545,12,15.945893
42.687322,12,15.998701
49.336318,12,16.051591
58.73777,12,16.104114
43.842072,12,16.156348
24.457139,12,16.2082
41.369637,12,16.259902
13.256089,12,16.312255
50.773476,12,16.364539
45.574606,12,16.416549
19.962782,12,16.468155
42.875859,12,16.518389
55.018932,12,16.566668
43.508354,12,16.617536
54.846981,12,16.669172
35.523034,12,16.72042
48.104278,12,16.772767
47.118467,12,16.824927
45.807795,12,16.876698
28.662323,12,16.928183
44.891508,12,16.980314
36.999374,12,17.032496
24.858164,12,17.084078
52.044118,12,17.135952
7.950613,12,17.187167
51.667528,12,17.238532
44.827703,12,17.291072
54.588546,12,17.343157
7.631312,12,17.395297
47.063039,12,17.447641
50.199266,12,17.499839
50.636909,12,17.551579
47.224164,12,17.603392
40.897142,12,17.655746
15.827261,12,17.70749
10.709947,12,17.758961
50.462194,12,17.811255
29.871394,12,17.863027
46.280545,12,17.91496
8.345054,12,17.966292
57.404401,12,18.018301
34.686929,12,18.070205
52.56275,12,18.122297
33.303009,12,18.174282
